titulo,preco,preco_antigo,avaliacao,loja,frete,desconto_pct,link,tem_desconto,frete_gratis,faixa_preco,score
Smartphone Motorola Moto G15 256gb 12gb 4GB RAM 8GB RAM Boost Camera 50mp Verde,899,1499.0,4.8,Motorola,Chegará grátis amanhã,40,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=gCmFfDtvh%2BkD%2FAufboVsIAJn7EXQZ5cJw9rY30myPeHa8jWnKU0E58ne%2FytcuTh%2BVtpoGbZKyqqLT15KsvUBW39D74Fu5AdmF7H6F7QwWOpH5uNojli1mB7ENfLVeJKdVrvDlehMnAjmHZPBtUhSelrejcJJTBsAbJCuV0wQdZ8ud4SOkB%2Fi8YrPWk6XCyr22mNpDxiDKOch%2BPsoy%2BZ%2FfDvwCpqXAU1NMqiA0gs7sOpPAnHTzrrAjd28PlozDZk6%2F8t%2FKP%2Fs%2FnZsNEhsF49dRdcKR1jzqL9a0GXWZAp21LkPqMRZ2ZuhkthTZRr4NmaA488cx%2FgvscmxZtigDfVmhI%2Fiaj09ZCVbnvrDcCbMT15Iatupd3mSlokrowDOEUBxj%2Bli1zSP60BgzXEP%2BJ8a17nhEUeTX6OE9Bs2hiXQLD5HioejNLUSgyoPUyt%2BEDH5rKfvDRZaJeQ7p%2F9r0HHn%2FYs2FosNhJkqZLx4Uw2rpD%2BY2LPLRB%2BfPnbQ6RPWN45Ze2BGWkm5WHSXcfufG23UbdqqQcrfJbFT8GyEwbg9D38ZPZv3rOmPrT84ojCAS4nspVTz5poIIVNBAxPG0NjTHpXW75KdWxP064S%2BgVbkXQB0dPQoPJnZAFi8dYKlaFOycW77R1ien9cIWTyHQr5OC8aEvHu9CpUtoktQw6jnzq3e7eZdBUrE%2BACB4T7oahktqi611fkj8AylSomgCZJ0R%2BIvOuH9WZmc2LVmeZj3ZP6c7VuYaQOhpfImhYBvMki9C7Jj%2FxifWMX7J%2FN9vliHmlvL9PUEzrvbw0NwQ9x8Uq38eWFOo952HZ4ptFbMr%2FOJESwb2S3b7lNC7fV6E%2FYWbpQZTZ3XLc3p8qaEyhTEPxbwqAPz7soKB%2FXQDMGz4upOuJ%2BOUZKtJ7Gnouw4srsD11X0NRJdK%2FAC%2BtvUSN%2B1a%2FyKZSbH5%2BJnyt%2BlSKhENmVsTcvwuYaSeWy%2Ffx0%2FNhbL4siZPFrt#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB44665542&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5237351728&sid=search,1,1,500-1k,24.4
"Smartphone Motorola Moto G17 4g - 128gb 12gb (4gb Ram + 8gb Ram Boost) Camera 50mp Sony Lytia 600, Tela Fhd+ 60hz, Bateria 5200 Mah - Azul",899,1299.0,4.9,Motorola,Chegará grátis amanhã,31,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=m487RRkyPRo5Wg3aP%2BNU92pQ7m2sNC9mjMJurUyotDvvbhkhcncQJPOx0hXmSda92WOGHjX4jY%2FNHYZGJRzDhikRaymekJGob1QbKvPoa7%2Fmr7KIraXKgfjrZ3HfMDyQKCp8EbE6Pxx0IClNHyK0IHAvRlt5uRNKsMJkpxFEUMQdrz56al5TEFByyL3wG7xIF2j3MrL3cnNkWqVO6%2BnZWvnWkoaJayxOYV3pc0gtgfwcgbpwuHx%2FcqbRpObinICBlns7A2RIdWicCE8CpA5Jti3W%2FPQ3EVREdH%2FsErNJE8iJk8oxkuknqFI2a%2B7L0K%2FCEoNlZuG%2B7EbpuCeAHB0H356zmVJW1AT7n0q7EFCEp88sg1ChN%2FWgSukdhSiG57TT%2F4Gu9XDjRjInnxvrYFGUsRZmbMPcjGDfXpuAttOXrWm5CQHuY1mrwVlrraR5c%2B%2BQTt03gtnrS4P6OwEwUQpB1JBb%2F1%2BhBrwTshSHt6YNUJgAFc%2BQvQzWeX5FsFkadqbndchRXzyUt6%2Fj8BSn8vn%2BeuA2uv7uGF%2BVENDskp0uEeCiH4DJAJtzUcVYArwVn8HmrQeyxnmIcXAk7zkh66pDvztL5eoqaA%2BKopxMZCJ1C7SxwKvaP1JHSReUBGBvjD0tW9qfp997Z1QhW4yqGWF5ObhXijJvOD0wlLAXa08d373PThzV8sNOd1nwkhLpaG56C2%2F%2FlINFunCq%2Fg3OibQSDacXABVk%2BtaULzgYGT59loNSpUduTHUklHTIS4lg3UmxFr4mn5N%2FdVni192LTl8eRDZAL98eLDIiYsncwOXZ8AXWKw7rqVaP7nykxFzS9qO%2B5izSNI0%2By4tbsB753zjslnJlaUK8nm6CIWOsEzx4z4Yp8KpAP9k88lehLE%2BRC5EUon5B2TxvWH4TLc0UPWo5MtfU8S%2B%2BfJ%2Bkiv%2FIs601GySS2U3Un2QT9vi70krnRMRf3Wbzd8Gs%2FpI7AJYTH9pixY2pq8rXY3jYkKrau7%2F%2FCFUobzYR2QFU99dNbnHeDoFNCh%2FLhxGwUr37XjCtyAlLTCvzaCmi#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB65041642&backend_model=search-backend&search_layout=grid&position=2&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB6420215012&sid=search,1,1,500-1k,21.75
Smartphone Motorola Moto G06 - 256gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9 - Bege,723,1349.0,4.9,Motorola,Chegará grátis amanhã,46,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=wO03QEX4r%2FLazQ%2B45pgImpT%2BwcKmPxJpdiNKev8feX79HXFiEmOi2yayJHaOVaUjS3qBgbyn%2FlsPYAl2W74pY8nc%2BWLx4sZSZj8J1mCuijcDzJmq3m4XGQBnLd%2FERSFLV5iJGba0QG136o41HBukn5CvX6D%2BLbe0%2B1nKkEp3Q67%2BN%2BrTwLJqbSvL0TTngZwZNeVhWWn4CvuvurSzDgSMQfXN9TePNx2%2B%2BtR1LZ5OprEqH8BIkrQ829geMunFseBy623bncJ4hDlsQiQk4Tn%2BYKg5cjAEfvMuTjhH%2BAExDp9Pav%2FGdNiQtew6egQOzmeL4SSzDkZNlHvWa7Tclfiiha48MeHODa7l3MrqQw%2BpjgedTOOKnugZMgQyfqOGTu9DQp1AinAkw44OayKQ5u9Sgwp%2Fda%2Bqg%2FviykOr16vJPQgUOAZIqvuuUirIMpTY7zpHRyCMtAeacBJixAqP6LEp79OMfcq7BEctZqcw4x7dFlVRyVU2Gbfb0SbUc0jThbtDbrBFUDHKi53%2B9AD8ilZQkAvK8TSo3Zu6P90KPT0d7T8RRvLHBOKP%2BBcAe6og7uDfCGriGbLHbPar7FSDQp1h7ns%2FVs8cnRcp7v0%2BKAWZ0lHZbwurvYMoOyRObF7CojeXAeONgZLYWkHezIaKRx%2FcjNIHTistgQo6gqoon3REuRl3GkuW3EBYjoNehFCP%2FNq4ri%2FVZjyZ7gJqXv1KJkwHwnE1Og7l3jX3qxw2X%2BefXfA8PTLC3gp5e3vO6TU9q%2B59yOric6UYglyAKoi9I%2FSGCSuWHfaF2mW3tguo%2BOIrkeeH92YN9u4WRWFGrtcih0onfg5S1VnMOrn5aHmMcNDggfB4rpoz%2F28ZJXnbHP4P0afMBlKqRb5qc1vUt1aOqchV2NYSw7%2FnmDuOEwyIvdvDhoACX6Hqv1yunJYqvyUWm2qAoomyPqwa5Zk%2Fq7jWee%2BiWEOgIExrRcg6gSJEfwX%2BIJbm%2B8ozGB9bD8CPyGa9jk3ezng6arU%2BbL2PVgHlniEaoXW1dBWzfw%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB55762063&backend_model=search-backend&search_layout=grid&position=3&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5765125576&sid=search,1,1,500-1k,26.25
Smartphone Motorola Edge 60 Neo 5G - 256GB 24GB (12GB RAM + 12GB Ram Boost) 50MP Sony Camera Moto AI e tela 1.5K Super HD - Latte,1799,3799.0,4.9,Motorola,Chegará grátis amanhã,53,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=RScmfo9cDJwITXQM3xHBPk19uuYinU%2BcA4O1b78ULnahzDGYEJ9kWOpwwLkPSqUgBNfN0uHYASXGIRFzKwyidRaAKNDMVSjd2BTJt0%2FD4Xwhqisr9EKg1iDtM%2BUO3J3arpq54yqoddZSK21mFA0G4kCZle%2F941KBJxUsE3nXmuwt8uEj44M04LUMvrJas8ovVofZGWV379SXv7sdwtzbR%2BY1%2ByxbxBMcthipqV1LwQs%2BrmJGdKy6BMGEuRwB%2FkxtgOZbasIXz%2BwC7FdSzfoSbMytmm5g6ea1VD5W%2BAyCx1sv40iCZdV9eV6cvreVZhsRM2gEiIUVr44V4gD2VWdUs%2FDKM5sXIpMXZtcl7W%2FFexLvnFctAoKGGLvNz229EJrQKn6FOys5dFQhsAaRJCB5yDG%2FvYSRh%2BZz0ekGJoLFdJWGLT4AltiaeMCWuNqZ0P450Xf6nUMtVXYhyuuDDenQK1QS0AgSI%2F5Wdn%2BIVblD43e6YyjigHceeAa%2BvKJuT88%2BBXiLF6%2BaET4sc5mSeYuQYqkTcdD6g31LPJSHP54uS8rNu4DWXV8U2mRZw%2BekdLdWN3beTam7slXEFneb88K032F7LX6kUa3GupKX4MwyS2hM0UKahTi7a5HJLYS6QsjWSwvLVuzAQXRn7YGGDQJxIe6Hi2bW3Ut681H4oVPPJQOmv3iWkFA2dU3HfCddgDPIVg5a2X3TcRo3AwiSd58E3Ng7KaI4kYEAmpCMxzOPxnoTCUCYd4PZdmpFpf5OuDIbtEFW0ELnesLK1qJBMkYci%2F%2FFocXcJrBDEKLZfCQGj0%2Bq4%2BqlSCHVfF6HYX5GT%2FxJsAk9IeyqM2d0dfNCVz8ppP%2FQ9f8mWjDNyglywddD0X%2FXFyCk56EKvHxrHoSp8WTqo9cBIrRkbIjLylBN5bRz8HqYJrBTrPdYr4KUvfDiZQ%2Bd32YFBpVmuDO7o%2FNnKzIHC9uAbiJsZOYJUt9BWgztBlgsns63pF4Fu9%2B8W36kLJFDhRCc9M0wI710VBMPIdV10glYTDNvscGOYDc%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB58684606&backend_model=search-backend&search_layout=grid&position=4&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB4265763257&sid=search,1,1,1k-2k,28.349999999999998
Celular Samsung Galaxy A56 5g 256gb 8gb Ram Cinza,1998,3699.0,4.9,Samsung,Chegará grátis amanhã,46,https://www.mercadolivre.com.br/celular-samsung-galaxy-a56-5g-256gb-8gb-ram-cinza/p/MLB47114363#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5317821714&sid=search,1,1,1k-2k,26.25
Smartphone Samsung Galaxy A36 5g 128gb 6gb Ram Câmera Tripla De Até 50mp Selfie De 12mp Ip67 Super Amoled 6.7'' Nfc Recursos Ai Android E Segurança Snapdragon - Preto,1430,2815.0,4.9,Webfones,Chegará grátis amanhã,49,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a36-5g-128gb-6gb-ram-cmera-tripla-de-ate-50mp-selfie-de-12mp-ip67-super-amoled-67-nfc-recursos-ai-android-e-seguranca-snapdragon-preto/p/MLB47115842#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB6410679768&sid=search,1,1,1k-2k,27.15
Xiaomi Redmi 14c 4G 256 GB 8 GB RAM dual sim cor preto,830,830.0,4.6,Desconhecida,Não informado,0,https://www.mercadolivre.com.br/xiaomi-redmi-14c-4g-256-gb-8-gb-ram-dual-sim-cor-preto/p/MLB41287578#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB6628300600&sid=search,0,0,500-1k,2.3
Smartphone Motorola Moto G06 - 128gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9,661,999.0,4.9,Desconhecida,Chegará grátis amanhã,34,https://www.mercadolivre.com.br/smartphone-motorola-moto-g06-128gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-bateria-de-5200-mah-tela-69/p/MLB61381499#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB4515672567&sid=search,1,1,500-1k,22.65
"Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Preto",599,899.0,4.9,Samsung,Chegará grátis amanhã,33,https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-128gb-4gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-preto/p/MLB55034955#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5859349564&sid=search,1,1,500-1k,22.35
Samsung Galaxy A06 5g Dual Sim 128gb preto,719,989.0,4.8,Vikings,Chegará grátis amanhã,27,https://www.mercadolivre.com.br/samsung-galaxy-a06-5g-dual-sim-128gb-preto/p/MLB48946861#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB6433836010&sid=search,1,1,500-1k,20.5
